season,team,matches_played,wins,draws,losses,points_per_game,goals_scored,goals_conceded,goal_difference,target_total_points,target_league_position,target_champion,target_top_4,target_top_6,target_relegated
2015-16,Bournemouth,38,11,9,18,1.105263157894737,45.0,67.0,-22.0,42,15,0,0,0,0
2015-16,Norwich,38,9,7,22,0.8947368421052632,39.0,67.0,-28.0,34,19,0,0,0,1
2015-16,Man United,38,19,9,10,1.736842105263158,49.0,35.0,14.0,66,4,0,1,1,0
2015-16,Chelsea,38,12,14,12,1.3157894736842106,59.0,53.0,6.0,50,10,0,0,0,0
2015-16,Everton,38,11,14,13,1.236842105263158,59.0,55.0,4.0,47,11,0,0,0,0
2015-16,Leicester,38,23,12,3,2.1315789473684212,68.0,36.0,32.0,81,1,1,1,1,0
2015-16,Arsenal,38,20,11,7,1.868421052631579,65.0,36.0,29.0,71,2,0,1,1,0
2015-16,Newcastle,38,9,10,19,0.9736842105263158,44.0,65.0,-21.0,37,18,0,0,0,1
2015-16,Stoke,38,14,9,15,1.3421052631578947,41.0,55.0,-14.0,51,9,0,0,0,0
2015-16,West Brom,38,10,13,15,1.131578947368421,34.0,48.0,-14.0,43,14,0,0,0,0
2015-16,Aston Villa,38,3,8,27,0.4473684210526316,27.0,76.0,-49.0,17,20,0,0,0,1
2015-16,Southampton,38,18,9,11,1.6578947368421053,59.0,41.0,18.0,63,6,0,0,1,0
2015-16,Sunderland,38,9,12,17,1.0263157894736843,48.0,62.0,-14.0,39,17,0,0,0,0
2015-16,Swansea,38,12,11,15,1.236842105263158,42.0,52.0,-10.0,47,11,0,0,0,0
2015-16,Tottenham,38,19,13,6,1.8421052631578947,69.0,35.0,34.0,70,3,0,1,1,0
2015-16,Watford,38,12,9,17,1.1842105263157894,40.0,50.0,-10.0,45,13,0,0,0,0
2015-16,West Ham,38,16,14,8,1.631578947368421,65.0,51.0,14.0,62,7,0,0,0,0
2015-16,Man City,38,19,9,10,1.736842105263158,71.0,41.0,30.0,66,4,0,1,1,0
2015-16,Crystal Palace,38,11,9,18,1.105263157894737,39.0,51.0,-12.0,42,15,0,0,0,0
2015-16,Liverpool,38,16,12,10,1.5789473684210527,63.0,50.0,13.0,60,8,0,0,0,0
2017-18,Arsenal,38,19,6,13,1.6578947368421053,74.0,51.0,23.0,63,6,0,0,1,0
2017-18,Brighton,38,9,13,16,1.0526315789473684,34.0,54.0,-20.0,40,15,0,0,0,0
2017-18,Chelsea,38,21,7,10,1.8421052631578947,62.0,38.0,24.0,70,5,0,0,1,0
2017-18,Crystal Palace,38,11,11,16,1.1578947368421053,45.0,55.0,-10.0,44,10,0,0,0,0
2017-18,Everton,38,13,10,15,1.2894736842105263,44.0,58.0,-14.0,49,8,0,0,0,0
2017-18,Southampton,38,7,15,16,0.9473684210526315,37.0,56.0,-19.0,36,17,0,0,0,0
2017-18,Watford,38,11,8,19,1.0789473684210527,44.0,64.0,-20.0,41,14,0,0,0,0
2017-18,West Brom,38,6,13,19,0.8157894736842105,31.0,56.0,-25.0,31,20,0,0,0,1
2017-18,Man United,38,25,6,7,2.1315789473684212,68.0,28.0,40.0,81,2,0,1,1,0
2017-18,Newcastle,38,12,8,18,1.1578947368421053,39.0,47.0,-8.0,44,10,0,0,0,0
2017-18,Swansea,38,8,9,21,0.868421052631579,28.0,56.0,-28.0,33,18,0,0,0,1
2017-18,Stoke,38,7,12,19,0.868421052631579,35.0,68.0,-33.0,33,18,0,0,0,1
2017-18,Liverpool,38,21,12,5,1.9736842105263157,84.0,38.0,46.0,75,4,0,1,1,0
2017-18,Leicester,38,12,11,15,1.236842105263158,56.0,60.0,-4.0,47,9,0,0,0,0
2017-18,Burnley,38,14,12,12,1.4210526315789473,36.0,39.0,-3.0,54,7,0,0,0,0
2017-18,Bournemouth,38,11,11,16,1.1578947368421053,45.0,61.0,-16.0,44,10,0,0,0,0
2017-18,Huddersfield,38,9,10,19,0.9736842105263158,28.0,58.0,-30.0,37,16,0,0,0,0
2017-18,Tottenham,38,23,8,7,2.026315789473684,74.0,36.0,38.0,77,3,0,1,1,0
2017-18,Man City,38,32,4,2,2.6315789473684212,106.0,27.0,79.0,100,1,1,1,1,0
2017-18,West Ham,38,10,12,16,1.105263157894737,48.0,68.0,-20.0,42,13,0,0,0,0
